Warehouse id,SKU id,MAPE,Details
Wh-1,SKU-95,0.44940587947921445,Forecast successful
Wh-1,SKU-96,0.8394460235099864,Forecast successful
Wh-1,SKU-97,1.7570039344636,Forecast successful
Wh-1,SKU-98,0.92623611931459,Forecast successful
Wh-1,SKU-99,0.39312687148934017,Forecast successful
Wh-1,SKU-234,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-237,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-239,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-240,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-244,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-248,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-250,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-251,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-257,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-258,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-259,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-260,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-261,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-262,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-263,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-264,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-265,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-267,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-268,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-269,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-270,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-271,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-272,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-275,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-276,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-278,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-287,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-288,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-289,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-291,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-292,,No data available for this SKU-Warehouse combination.
Wh-1,SKU-293,,No data available for this SKU-Warehouse combination.
